"Page Id","Block Name",Content,"Language Id","Version Id"
,blog_archive_page,27,1,1
,blog_category_page,25,1,1
,blog_main_page,22,1,1
,blog_search_page,26,1,1
,copyright,Coaster,1,1
,feature,4,1,1
,features_lead_text,"At vero eos et accusamus et iusto odio",1,1
,features_title,"Why Us ?",1,1
,internal_banner,"O:8:""stdClass"":2:{s:4:""file"";s:38:""/uploads/images/coaster2017/banner.jpg"";s:5:""title"";s:0:"""";}",1,1
,logo,"O:8:""stdClass"":2:{s:4:""file"";s:36:""/uploads/images/coaster2017/logo.png"";s:5:""title"";s:0:"""";}",1,1
,meta_description,%page_name%,1,1
,meta_title,"%page_name% | %site_name%",1,1
,scroll_to_top_text,"Back to top",1,1
,show_features,1,1,1
,social,3,1,1
1,banner,2,1,1
1,carousel,1,1,1
1,lead_text,"Oomnis iste natus error sit voluptatem ipsa quae ab illo invent",1,1
1,show_sub_pages,6,1,1
1,title,Locations,1,1
